Đường/Phố,Phường/Xã,Quận/Huyện,Thành phố/Tỉnh,Diện tích,Chiều ngang,Chiều dài,Đường trước nhà,Số tầng,Số phòng ngủ,Chỗ để xe,Giá
Trịnh Như Khuê,Bình Chánh,Bình Chánh,Hồ Chí Minh,129,5,25,12,1,3,Có,790
Đa Phước 9,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,103,,,"7,5",3,3,,"7,1"
Nguyễn Văn Thoại,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,257,,,"7,5",,3,,31
Ông Ích Khiêm,Hải Châu II,Hải Châu,Đà Nẵng,96,,,10,3,4,,20
Hoa Lư,Nại Hiên Đông,Sơn Trà,Đà Nẵng,72,,,"7,5",3,5,,"4,8"
Lạc Long Quân,3,11,Hồ Chí Minh,60,4,15,10,4,5,,"10,95"
Cô Bắc,1,Phú Nhuận,Hồ Chí Minh,85,"5,2","16,2",6,3,4,Có,"15,5"
Trần Quý Cáp,Văn Miếu,Đống Đa,Hà Nội,61,7,"8,5",3,4,4,Có,"7,2"
Láng,Cát Linh,Đống Đa,Hà Nội,36,4,12,3,4,6,Có,"6,5"
Thái Hà,Trung Liệt,Đống Đa,Hà Nội,61,7,"8,5",3,4,4,Có,"7,5"
Tôn Đức Thắng,Văn Miếu,Đống Đa,Hà Nội,61,7,"8,5",4,4,4,Có,"7,2"
số 1,Tân Thuận Đông,7,Hồ Chí Minh,110,5,22,20,5,5,,19
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,85,,,30,3,3,Có,"11,5"
Văn Tiến Dũng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100,,,11,6,11,Có,"10,85"
Thái Hà,Trung Liệt,Đống Đa,Hà Nội,50,,,5,7,11,,"12,6"
Tây Hồ,Quảng An,Tây Hồ,Hà Nội,193,8,24,8,7,16,Có,75
Trịnh Như Khuê,Bình Chánh,Bình Chánh,Hồ Chí Minh,117,6,19,8,1,3,Có,670
Lê Văn Sĩ,Hòa Minh,Liên Chiểu,Đà Nẵng,70,,,"5,5",3,4,Có,"5,95"
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,132,,,10,3,3,Có,"21,7"
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,50,,,3,3,4,Có,"4,1"
